sample	file	clone	mark	timepoint	replicate	condition	project	ID
439_H3K27me3_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/439_H3K27me3_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	439	H3K27me3	T0	r2	MCM2-2A	Crosslinked	439_H3K27me3_X_T0_r2_R1
439_SUZ12_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/439_SUZ12_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	439	SUZ12	T0	r1	MCM2-2A	Crosslinked	439_SUZ12_X_T0_r1_R1
439_SUZ12_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/439_SUZ12_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	439	SUZ12	T0	r2	MCM2-2A	Crosslinked	439_SUZ12_X_T0_r2_R1
442_H3K27me3_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/442_H3K27me3_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27me3	T0	r1	MCM2-2A	Crosslinked	442_H3K27me3_X_T0_r1_R1
442_H3K27me3_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/442_H3K27me3_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27me3	T0	r2	MCM2-2A	Crosslinked	442_H3K27me3_X_T0_r2_R1
442_SUZ12_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/442_SUZ12_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	SUZ12	T0	r1	MCM2-2A	Crosslinked	442_SUZ12_X_T0_r1_R1
442_SUZ12_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/442_SUZ12_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	SUZ12	T0	r2	MCM2-2A	Crosslinked	442_SUZ12_X_T0_r2_R1
410_H3K27me3_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/410_H3K27me3_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r1	WT	Rescue	410_H3K27me3_T0_r1_R1
410_H3K27me3_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/410_H3K27me3_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r2	WT	Rescue	410_H3K27me3_T0_r2_R1
410_H4K20me0_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/410_H4K20me0_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H4K20me0	T0	r1	WT	Rescue	410_H4K20me0_T0_r1_R1
